,name,link,path
0,"Oracle High Availability, Disaster Recovery, and Cloud Services: Explore RAC, Data Guard, and Cloud Technology",http://51.195.220.149/getBook.php?id=1,Computers-Databases
1,Industrial System Engineering for Drones: A Guide with Best Practices for Designing,http://51.195.220.149/getBook.php?id=2,Uncategorized
2,Micro Frontends in Action,http://51.195.220.149/getBook.php?id=3,Computers-Web-design
3,,http://51.195.220.149/getBook.php?id=4,Uncategorized
4,,http://51.195.220.149/getBook.php?id=5,Uncategorized
5,Mastering VMware NSX for vSphere,http://51.195.220.149/getBook.php?id=6,Uncategorized
6,React Hooks in Action: With Suspense and Concurrent Mode MEAP V3,http://51.195.220.149/getBook.php?id=7,Uncategorized
7,Beginning Laravel: Build Websites with Laravel 5.8,http://51.195.220.149/getBook.php?id=8,Uncategorized
8,Programming PyTorch for Deep Learning: Creating and Deploying Deep Learning Applications,http://51.195.220.149/getBook.php?id=9,Computers-Cybernetics: Artificial Intelligence
9,Machine Learning with the Raspberry Pi: Experiments with Data and Computer Vision,http://51.195.220.149/getBook.php?id=10,Uncategorized
10,Linux in Action (MEAP - Early Edition),http://51.195.220.149/getBook.php?id=11,Uncategorized
11,Introducing Play Framework - Java Web Application Development.,http://51.195.220.149/getBook.php?id=12,Computers-Programming: Programming Languages
12,Designing Interfaces: Patterns for Effective Interaction Design,http://51.195.220.149/getBook.php?id=13,Computers-Programming
13,Redux in Action,http://51.195.220.149/getBook.php?id=14,Uncategorized
14,Hands-On Unsupervised Learning Using Python: How to Build Applied Machine Learning Solutions from Unlabeled Data,http://51.195.220.149/getBook.php?id=15,Uncategorized
15,SQL Server Big Data Clusters : Early First Edition Based on Release Candidate 1,http://51.195.220.149/getBook.php?id=16,Uncategorized
16,Building Digital Experience Platforms: A Guide to Developing Next-Generation Enterprise Applications,http://51.195.220.149/getBook.php?id=17,Uncategorized
17,"Python Automation Cookbook: 75 Python automation ideas for web scraping, data wrangling, and processing Excel, reports, emails, and more, 2nd Edition",http://51.195.220.149/getBook.php?id=18,Uncategorized
18,"Learning SQL: Generate, Manipulate, and Retrieve Data",http://51.195.220.149/getBook.php?id=19,Computers-Databases
19,"Kafka: The Definitive Guide, 2nd Edition",http://51.195.220.149/getBook.php?id=20,Uncategorized
20,Practical Data Analysis Using Jupyter Notebook: Learn how to speak the language of data by extracting useful and actionable insights using Python,http://51.195.220.149/getBook.php?id=21,Uncategorized
21,,http://51.195.220.149/getBook.php?id=22,Uncategorized
22,Google Cloud Platform in Action,http://51.195.220.149/getBook.php?id=23,Computers-Networking: Internet
23,Rethinking Productivity in Software Engineering,http://51.195.220.149/getBook.php?id=24,Uncategorized
24,"Beginning Security with Microsoft Technologies: Protecting Office 365, Devices, and Data",http://51.195.220.149/getBook.php?id=25,Uncategorized
25,,http://51.195.220.149/getBook.php?id=26,Uncategorized
26,"PostgreSQL 12 High Availability Cookbook: Over 100 recipes to design a highly available server with the advanced features of PostgreSQL 12, 3rd Edition",http://51.195.220.149/getBook.php?id=27,Uncategorized
27,Terraform: Up & Running: Writing Infrastructure as Code,http://51.195.220.149/getBook.php?id=28,Uncategorized
28,,http://51.195.220.149/getBook.php?id=29,Uncategorized
29,Mastering Azure Machine Learning: Perform large-scale end-to-end advanced machine learning on the cloud with Microsoft Azure ML,http://51.195.220.149/getBook.php?id=30,Uncategorized
30,Building an Anonymization Pipeline ; Creating Safe Data,http://51.195.220.149/getBook.php?id=31,Uncategorized
31,Learn Computer Forensics,http://51.195.220.149/getBook.php?id=32,Uncategorized
32,Introducing the HTML5 Web Speech API: Your Practical Introduction to Adding Browser-Based Speech Capabilities to your Websites and Online Applications,http://51.195.220.149/getBook.php?id=33,Uncategorized
33,Raspberry Pi Assembly Language Programming,http://51.195.220.149/getBook.php?id=34,Computers-Programming
34,VBA Automation for Excel 2019 Cookbook: Solutions to automate routine tasks and increase productivity with Excel,http://51.195.220.149/getBook.php?id=35,Uncategorized
35,Practical Cyber Forensics: An Incident-Based Approach to Forensic Investigations,http://51.195.220.149/getBook.php?id=36,Uncategorized
36,Programming Bitcoin: Learn How to Program Bitcoin from Scratch,http://51.195.220.149/getBook.php?id=37,Computers-Cryptography
37,Pro Oracle Database 18c Administration: Manage and Safeguard Your Organizationâs Data,http://51.195.220.149/getBook.php?id=38,Uncategorized
38,Modern C,http://51.195.220.149/getBook.php?id=39,Computers-Programming
39,"Vertically Integrated Architectures: Versioned Data Models, Implicit Services, and Persistence-Aware Programming",http://51.195.220.149/getBook.php?id=40,Computers-Information Systems
40,Mindful Design: How and Why to Make Design Decisions for the Good of Those Using Your Product,http://51.195.220.149/getBook.php?id=41,Computers-Media
41,Practical MATLAB Deep Learning: A Project-Based Approach,http://51.195.220.149/getBook.php?id=42,Uncategorized
42,OCP Oracle Certified Professional Java SE 11 Programmer I Study Guide: Exam 1Z0-815,http://51.195.220.149/getBook.php?id=43,Uncategorized
43,Architecting and Operating OpenShift Clusters: OpenShift for Infrastructure and Operations Teams,http://51.195.220.149/getBook.php?id=44,Uncategorized
44,Programming Persistent Memory: A Comprehensive Guide For Developers,http://51.195.220.149/getBook.php?id=45,Computers-Programming
45,"Building a Data Integration Team: Skills, Requirements, and Solutions for Designing Integrations",http://51.195.220.149/getBook.php?id=46,Computers-Databases
46,Mastering Windows Server 2016,http://51.195.220.149/getBook.php?id=47,Uncategorized
47,Pro TBB: C++ parallel programming with threading building blocks,http://51.195.220.149/getBook.php?id=48,Uncategorized
48,Identity Attack Vectors: Implementing An Effective Identity And Access Management Solution,http://51.195.220.149/getBook.php?id=49,Computers-Security
49,"The Clojure Workshop: A New, Interactive Approach to Learning Clojure",http://51.195.220.149/getBook.php?id=50,Uncategorized
50,Building Scalable PHP Web Applications Using the Cloud: A Simple Guide to Programming and Administering Cloud-Based Applications,http://51.195.220.149/getBook.php?id=51,Uncategorized
51,"Full Stack Serverless: Modern Application Development with React, AWS, and GraphQL",http://51.195.220.149/getBook.php?id=52,Computers-Networking: Internet
52,Hands-On Simulation Modeling with Python: Develop simulation models to get accurate results and enhance decision-making processes,http://51.195.220.149/getBook.php?id=53,Uncategorized
53,Learning CoreDNS: Configuring DNS for Cloud Native Environments,http://51.195.220.149/getBook.php?id=54,Uncategorized
54,Official Google Cloud Certified Associate Cloud Engineer Study Guide,http://51.195.220.149/getBook.php?id=55,Uncategorized
55,Great Big Agile: An OS for Agile Leaders,http://51.195.220.149/getBook.php?id=56,Business-Management: Project Management
56,This is service design doing : applying service design thinking in the real world : a practitionerâs handbook,http://51.195.220.149/getBook.php?id=57,Uncategorized
57,"The Data Analysis Workshop: Solve business problems with state-of-the-art data analysis models, developing expert data analysis skills along the way",http://51.195.220.149/getBook.php?id=58,Uncategorized
58,"Practical Deep Learning for Cloud, Mobile, and Edge: Real-World AI & Computer-Vision Projects Using Python, Keras & TensorFlow",http://51.195.220.149/getBook.php?id=59,Uncategorized
59,The Art of Network Penetration Testing: How to take over any company in the world,http://51.195.220.149/getBook.php?id=60,Computers-Security
60,"Learn Amazon SageMaker: A guide to building, training, and deploying machine learning models for developers and data scientists",http://51.195.220.149/getBook.php?id=61,Computers-Cybernetics: Artificial Intelligence
61,"Advanced ASP.NET Core 3 Security: Understanding Hacks, Attacks, and Vulnerabilities to Secure Your Website",http://51.195.220.149/getBook.php?id=62,Uncategorized
